"IDRSSD"	RCFD1248	RCFD1249	RCFD1250	RCFD1251	RCFD1252	RCFD1253	RCFD1254	RCFD1255	RCFD1256	RCFD1257	RCFD1258	RCFD1259	RCFD1271	RCFD1272	RCFD1583	RCFD1594	RCFD1597	RCFD1658	RCFD1659	RCFD1661	RCFD1791	RCFD3505	RCFD3506	RCFD3507	RCFD3529	RCFD3530	RCFD5377	RCFD5378	RCFD5379	RCFD5380	RCFD5381	RCFD5382	RCFD5389	RCFD5390	RCFD5391	RCFD5459	RCFD5460	RCFD5461	RCFD5612	RCFD5613	RCFD5614	RCFD5615	RCFD5616	RCFD5617	RCFD6558	RCFD6559	RCFD6560	RCFDB575	RCFDB576	RCFDB577	RCFDB578	RCFDB579	RCFDB580	RCFDC226	RCFDC240	RCFDC241	RCFNB572	RCFNB573	RCFNB574	RCON1226	RCON1227	RCON1228	RCON1248	RCON1249	RCON1250	RCON1254	RCON1255	RCON1256	RCON1271	RCON1272	RCON1583	RCON1594	RCON1597	RCON1606	RCON1607	RCON1608	RCON1658	RCON1659	RCON1661	RCON1791	RCON2759	RCON2769	RCON3492	RCON3493	RCON3494	RCON3495	RCON3499	RCON3500	RCON3501	RCON3502	RCON3503	RCON3504	RCON3505	RCON3506	RCON3507	RCON3529	RCON3530	RCON5380	RCON5381	RCON5382	RCON5389	RCON5390	RCON5391	RCON5398	RCON5399	RCON5400	RCON5459	RCON5460	RCON5461	RCON5612	RCON5613	RCON5614	RCON5615	RCON5616	RCON5617	RCON6558	RCON6559	RCON6560	RCONB575	RCONB576	RCONB577	RCONB578	RCONB579	RCONB580	RCONB834	RCONB835	RCONB836	RCONC226	RCONC229	RCONC230	RCONC236	RCONC237	RCONC238	RCONC239	RCONC240	RCONC241	
	LNS SECD BY RE TO NONUS ADR,PAS DU30	LNS SECD BY RE TO NONUS ADR,PAS DU90	LNS SECD BY RE TO NONUS ADR,NONACCRL	C&I LNS TO US ADDRS,PAS DU 30-89 DYS	C&I LNS TO US ADDRS,PAS DU 90 DYS OR	C&I LNS TO US ADDRS,NONACCRUAL	C&I LNS TO NONUS ADR,PAS DU 30-89 DY	C&I LNS TO NONUS ADR,PAS DU 90 DYS	C&I LNS TO NONUS ADR,NONACCRUAL	LSE FNC RECS OF US ADDRS,PAS DU 30	LSE FIN RECS OF US ADDRS, PAST DUE 9	LSE FIN RECS OF US ADDR,NONACCRUAL	LEASE FINAN REC OF NON-US P/D30-89DY	LSE FIN RECS OF NONUS ADR,PAS DU 90	LOANS TO FARMERS, NONACCRUAL	LN TO FRMERS,PAST 30-89 DYS, ACCRUIN	LN TO FRMERS,PAST 90 OR MORE,ACCRUIN	RESTRUCTURED LNS-PAST DUE 30-89 DAYS	RESTRUCTURED LNS-PAST DUE 90 DAYS OR	RESTRUCTURED LNS-NONACCRUAL	LSE FIN RECS OF NON-US ADRS,NONACCRL	OTH ASSETS-PAST DUE 30-89 DYS, ACCRG	OTH ASSETS-PAST DUE 90DYS OR MOR,ACG	OTHER ASSETS-NONACCRUAL	REPLMT COST OF CONTRCTS-PAS DU 30-89	REPLMT COST OF CONTRCTS-PAS DU 90 DY	LNS TO US BKS,ETC.-PAST DU 30-89 DYS	LNS TO US BKS,ETC.-PAST DU 90 DYS OR	LNS TO US BKS,ETC.-NONACCRUAL	LNS TO FOREIGN BKS-PAST DU 30-89 DYS	LNS TO FOREIGN BKS-PAST DU 90 DYS OR	LNS TO FOREIGN BKS-NONACCRUAL	LNS TO FGN GOV,ETC.-PAS DU 30-89 DYS	LNS TO FGN GOV,ETC.-PAS DU 90 DYS OR	LNS TO FGN GOV,ETC.-NONACCRUAL	ALL OTHER LOANS-PAST DU 30-89 DAYS	ALL OTHER LOANS-PAST DU 90 DYS OR MO	ALL OTHER LOANS-NONACCRUAL	LNS&LEASES WHLY GUAR-PST DU 30-89 DY	LNS&LEASES WHLY GUAR-PST DU 90DYS OR	LNS&LEASES WHLY GUAR-NONACCRUAL	GUAR PORTN OF LNS&LS-PST DU 30-89 DY	GUAR PORTN OF LNS&LS-PST DU 90DYS OR	GUAR PORTN OF LNS&LS-NONACCRUAL	COMMCL RE,ETC.-PAST DUE 30-89 DYS,AG	COMMCL RE,ETC.-PAST DUE 90DYS OR MOR	COMMCL RE,ETC.-NONACCRUAL	PAST DUE(30-89DA): CREDIT CARD LOANS	PAST DUE(>=90DAY): CREDIT CARD LOANS	PAST DUE(NONACCR): CREDIT CARD LOANS	PAST DUE(30-89DA): OTHER INDIV LOANS	PAST DUE GE 90DAY OTHER INDIV LOANS	PAST DUE(NONACCR): OTHER INDIV LOANS	LOANS & LEASES HLD FOR SALE-NONACCRL	LNS & LEASES H-F-S PA DU 30-89 DYS	LNS & LEASES H-F-S PA DU 90 DYS MORE	PAST DUE (30-89DA): LOANS FGN OFFICE	PAST DUE (>=90DAY): LOANS FGN OFFICE	PAST DUE (NONACCR): LOANS FGN OFFICE	P/D(30-89DA):LEASE FIN REC - DERIVED	P/D(>=90DAY):LEASE FIN REC - DERIVED	P/D(NONACCR):LEASE FIN REC - DERIVED	LNS SECD BY RE TO NONUS ADR,PAS DU30	LNS SECD BY RE TO NONUS ADR,PAS DU90	LNS SECD BY RE TO NONUS ADR,NONACCRL	C&I LNS TO NONUS ADR,PAS DU 30-89 DY	C&I LNS TO NONUS ADR,PAS DU 90 DYS	C&I LNS TO NONUS ADR,NONACCRUAL	LEASE FINAN REC OF NON-US P/D30-89DY	LSE FIN RECS OF NONUS ADR,PAS DU 90	LOANS TO FARMERS, NONACCRUAL	LN TO FRMERS,PAST 30-89 DYS, ACCRUIN	LN TO FRMERS,PAST 90 OR MORE,ACCRUIN	PAST DUE (30-89 DAYS): C&I LOANS	PAST DUE (>=90 DAYS): C&I LOANS	PAST DUE (NONACCRUAL):C&I LOANS	RESTRUCTURED LNS-PAST DUE 30-89 DAYS	RESTRUCTURED LNS-PAST DUE 90 DAYS OR	RESTRUCTURED LNS-NONACCRUAL	LSE FIN RECS OF NON-US ADRS,NONACCRL	CONSTRUCTION LNS-PAST DUE 30-89 DAYS	CONSTRUCTN LNS-PAST DUE 90DYS OR MOR	CONSTRUCTION LNS-NONACCRUAL	LNS SECD BY FARMLAND-PAST DUE 30-89	LNS SECD BY FARMLAND-PAST DUE 90DYS	LNS SECD BY FARMLAND-NONACCRUAL	LNS SECD BY MULTIFAMILY-PST DU 30-89	LNS SECD BY MULTIFAMILY-PST DU 90DYS	LNS SECD BY MULTIFAMILY-NONACCRUAL	LNS SECD BY NONFARM-PAST DU 30-89DYS	LNS SECD BY NONFARM-PAST DU 90DYS OR	LNS SECD BY NONFARM-NONACCRUAL	OTH ASSETS-PAST DUE 30-89 DYS, ACCRG	OTH ASSETS-PAST DUE 90DYS OR MOR,ACG	OTHER ASSETS-NONACCRUAL	REPLMT COST OF CONTRCTS-PAS DU 30-89	REPLMT COST OF CONTRCTS-PAS DU 90 DY	LNS TO FOREIGN BKS-PAST DU 30-89 DYS	LNS TO FOREIGN BKS-PAST DU 90 DYS OR	LNS TO FOREIGN BKS-NONACCRUAL	LNS TO FGN GOV,ETC.-PAS DU 30-89 DYS	LNS TO FGN GOV,ETC.-PAS DU 90 DYS OR	LNS TO FGN GOV,ETC.-NONACCRUAL	RVLVG,OPEN-END LNS-PAST DU 30-89 DYS	RVLVG,OPEN-END LNS-PAST DU 90 DYS OR	RVLVG,OPEN-END LNS-NONACCRUAL	ALL OTHER LOANS-PAST DU 30-89 DAYS	ALL OTHER LOANS-PAST DU 90 DYS OR MO	ALL OTHER LOANS-NONACCRUAL	LNS&LEASES WHLY GUAR-PST DU 30-89 DY	LNS&LEASES WHLY GUAR-PST DU 90DYS OR	LNS&LEASES WHLY GUAR-NONACCRUAL	GUAR PORTN OF LNS&LS-PST DU 30-89 DY	GUAR PORTN OF LNS&LS-PST DU 90DYS OR	GUAR PORTN OF LNS&LS-NONACCRUAL	COMMCL RE,ETC.-PAST DUE 30-89 DYS,AG	COMMCL RE,ETC.-PAST DUE 90DYS OR MOR	COMMCL RE,ETC.-NONACCRUAL	PAST DUE(30-89DA): CREDIT CARD LOANS	PAST DUE(>=90DAY): CREDIT CARD LOANS	PAST DUE(NONACCR): CREDIT CARD LOANS	PAST DUE(30-89DA): OTHER INDIV LOANS	PAST DUE GE 90DAY OTHER INDIV LOANS	PAST DUE(NONACCR): OTHER INDIV LOANS	P/D(30-89DA):LOANS TO DI'S - DERIVED	PD GE 90 DAY LN TO DI DERIVED	P/D(NONACCR):LOANS TO DI - DERIVED	LOANS & LEASES HLD FOR SALE-NONACCRL	CLSD-END LNS:SCRD 1ST LIENS-NONACCRL	CLSD-ED LNS:SCRD JR LIENS-NONACCRUAL	CLSD-ED LNS:SEC 1 LIENS PA DU 30-89	CLSD-ED LNS:SEC 1 LIENS PA DU 90 MOR	CLSD-ED LNS:SEC JR LIENS PA DU 30-89	CLSD-ED LNS:SEC JR LIENS PA DU 90 MO	LNS & LEASES H-F-S PA DU 30-89 DYS	LNS & LEASES H-F-S PA DU 90 DYS MORE	
37																																																												0	0	0									0	0	0	64	0	0	0	0	0		0	0	0	41	0	0	25	0	0	319	282	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	13	174	0	0	0	0	105	0	1285	325	0	0	0	0	
242																																																												0	0	0									0	2	0	16	0	0	0	0	0		0	0	0	94	0	0	0	0	0	0	19	0	0	0	0						0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	18	0	0	0	0	0	23	0	99	71	0	0	0	0	
279																																																												0	0	0									0	0	0	0	9	0	0	0	0		228	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	8	0	0	0	0	0	0	0	383	15	0	0	0	0	
354																																																												0	0	0									76	59	0	0	28	60	0	0	0		0	0	0	187	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	59	0	76	0	0	0	0	0	0	0	0	0	0	0	0	75	0	10	0	0	0	0	48	0	104	0	0	0	0	0	
439																																																												0	0	0									0	0	0	402	0	26	0	0	0		240	0	0	1826	0	77	0	0	0	146	0	0	0	0	0						0	0	0	0	0	0	75	10	49	71	0	0	53	0	0	0	0	0	0	0	0	226	7	63	0	0	0	0	310	20	682	1	176	0	0	0	
457																																																												0	0	0									0	0	0	20	0	5	0	0	0		0	0	0	0	46	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
505																																																												0	0	0									0	0	0	6	0	93	0	0	0		0	0	0	0	0	0	0	0	629	701	0	152	0	0	0						0	0	0	51	18	0	0	0	0	23	0	152	18	0	114	0	0	0	0	0	0	166	20	0	0	0	0	0	29	0	690	528	0	0	0	0	
1146																																																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	38	0	0	0	0	517	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	81	101	26	91	0	35	0	0	0	0	33	4	240	0	0	0	0	0	
1155																																																												0	0	0									0	1	0	294	0	0	0	0	0		125	0	0	0	0	0	0	0	0	138	0	0	0	0	0						0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	5	0	299	74	9	0	0	0	0	0	19	253	0	170	0	0	0	
