RCFD2143,RCFD2150,RCFD2651,RCFD3163,RCFD3164,RCFD3190,RCFD4088,RCFD5372,RCFD5374,RCFD5375,RCFD5507,RCFD6164,RCFD6165,RCFDA590,RCFDB026,RCFDB565,RCFDB566,RCFDB567,RCFDB568,RCFDB569,RCFDB570,RCFDB571,RCFDF055,RCFDF056,RCFDF057,RCFDF058,RCFDF059,RCFDF060,RCFDF061,RCFDF062,RCFDF063,RCFDF065,RCFDJA29,RCFDJF76,RCFDK192,RCFDK193,RCFDK194,RCFN5513,RCON2143,RCON2150,RCON2651,RCON3163,RCON3164,RCON3190,RCON4088,RCON5508,RCON5509,RCON5510,RCON5511,RCON5512,RCON6164,RCON6165,RCONA590,RCONB569,RCONB570,RCONB571,RCONF055,RCONF056,RCONF057,RCONF058,RCONF059,RCONF060,RCONF061,RCONF062,RCONF063,RCONF064,RCONF065,RCONG463,RCONG464,RCONJA29,RCONJF76,RCONK193,RCONK194,RCONL133,RCONL135,RCONLG26,RCONLG27,RCONLG28,RCONLL57,RCONLL59,RCONLL60,RCONMM07,RCONMQ52,RCONN523,RCONN524,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0,0,0,0,true,50,0,0,0,0,207,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,,,0,0,,,,,,,,,,,,,37,2015-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2307,0,0,5523,true,0,0,0,0,0,605,0,0,true,0,0,2307,2450,766,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,242,2015-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16136,0,30,31044,true,0,0,0,0,0,2464,2,30,true,0,0,16136,0,7550,7358,0,0,0,0,0,0,0,false,false,,,0,0,,,,,,,,,,,,,279,2015-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,true,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,true,,,0,0,,,,,,,,,,,,,354,2015-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,0,0,0,3400,true,0,0,35,0,31,1500,2,0,false,0,0,400,500,1000,1500,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,457,2015-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289,10500,1595,115,10500,true,0,0,1289,0,0,8990,2,115,true,0,0,10500,0,0,0,0,0,0,0,0,0,0,true,true,,,0,0,,,,,,,,,,,,,505,2015-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2803,0,0,0,0,true,1803,0,0,1000,0,7054,5,0,true,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,1155,2015-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,0,0,0,0,true,0,0,240,0,190,2054,2,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,1351,2015-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,true,0,0,0,0,0,50593,5,0,true,0,0,0,0,0,0,0,0,0,0,0,0,0,true,true,,,0,0,,,,,,,,,,,,,1454,2015-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,70,0,3398,true,0,0,0,0,0,0,0,0,false,0,0,0,1202,0,2196,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,1557,2015-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0,0,0,0,true,0,0,73,0,0,4640,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,1669,2015-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8144,296,42442,true,0,0,0,0,0,3450,3,296,true,0,0,42442,0,0,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,1829,2015-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,98,0,30000,true,0,0,0,0,0,0,0,0,false,0,0,0,30000,0,0,0,0,0,0,0,0,0,false,false,,,0,0,,,,,,,,,,,,,1856,2015-09-30
