"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADB516	RIADB517	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	CHARGE-OFFS ON: OTHER INDIV LOANS	RECOVERIES ON: OTHER INDIV LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	
37	0	0	0	0	0	0	0	0	38	0			0	0	16	0	0	3											0	0	0	0			0	0	13	37	1	0	0	0			0	0	0	0	0	0	0	0				
242	0	0	0	0	0	0	0	0	10	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	8	0	0	0	0			0	2	0	0	0	0	0	0				
279	0	0	0	0	0	0	0	0	6	0			0	0	21	0	0	0											0	0	0	0			0	0	21	6	0	0	0	0			0	0	0	0	0	0	0	0				
354	0	0	0	0	0	0	0	0	9	2			0	1	16	4	0	0						0				0	0	0	0	0			0	0	12	4	0	0	0	0			0	0	0	0	0	2	0	0				
457	0	0	0	0	0	0	0	0	1	1			0	0	115	100	0	0						0				0	0	0	0	0			0	0	15	0	0	0	0	0			0	0	0	0	0	0	0	0				
505	0	0	0	0	0	0	0	0	31	3		0	0	1	114	0	0	2		0	0		0	0	0		0	0	0	0	0	0			0	0	112	24	3	0	0	0			0	0	0	0	0	0	0	0	0	0		
1155	0	0	0	0	0	0	0	0	333	327			0	0	375	370	0	0											0	0	0	0			1	1	4	5	0	0	0	0			0	0	0	0	0	0	0	0				
1351	0	0	0	0	0	0	0	0	20	0			0	0	53	42	0	0						0				0	0	0	0	0			0	0	11	19	1	0	0	0	0		0	0	0	0	0	0	0	0				
1454	0	0	0	0	0	0	0	0	25	0		0	0	11	38	0	0	18		0	0		0	0	0		0	0	0	0	0	0			0	0	20	14	0	0	0	0			0	0	0	0	0	0	0	0	0	0		
1557	0	0	0	0	0	0	0	0	1	0			0	0	1	0	0	0						0				0	0	0	0	0			0	0	1	1	0	0	0	0	0		0	0	0	0	0	0	0	0				
1632	0	0	0	0	0	0	0	0	408	95		0	0	57	577	260	0	0		0	0		0	0	0		0	57	0	0	50	0			0	0	37	27	3	0	45	24			0	0	109	1	0	0	52	225	0	0		
1669	0	0	0	0	0	0	0	0	48	4			0	0	69	0	0	6											0	0	0	0			0	0	63	44	0	0	0	0			0	0	0	0	0	0	0	0				
