RIAD3582,RIAD3583,RIAD3584,RIAD3585,RIAD3588,RIAD3589,RIAD3590,RIAD3591,RIAD4266,RIAD4267,RIAD4608,RIAD4617,RIAD4618,RIAD4627,RIAD4628,RIAD4635,RIAD4638,RIAD4643,RIAD4644,RIAD4645,RIAD4646,RIAD4652,RIAD4653,RIAD4654,RIAD4655,RIAD4658,RIAD4659,RIAD4662,RIAD4663,RIAD4664,RIAD4665,RIAD4668,RIAD4669,RIAD5409,RIAD5410,RIAD5411,RIAD5412,RIADB512,RIADB513,RIADB514,RIADB515,RIADB516,RIADB517,RIADC217,RIADC218,RIADC234,RIADC235,RIADC388,RIADC880,RIADC891,RIADC892,RIADC893,RIADC894,RIADC895,RIADC896,RIADC897,RIADC898,RIADF185,RIADF187,RIADF188,RIADK129,RIADK133,RIADK205,RIADK206,IDRSSD,RCON9999
0,0,0,0,0,0,0,0,0,0,0,,,0,0,78,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,58,30,10,0,20,0,0,,,,,,,,,,,,,,,,,37,2004-06-30
0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,7,0,0,0,0,0,,,,,,,,,,,,,,,,,242,2004-06-30
0,0,0,0,0,0,0,0,0,0,0,,,0,0,6,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,6,1,0,0,0,0,0,,,,,,,,,,,,,,,,,279,2004-06-30
0,0,0,0,0,0,0,2,0,0,0,,,0,10,0,0,0,0,,,,,,0,,,,,,1,,,0,0,0,0,,,0,0,0,15,0,0,0,0,0,,,,,,,,,,,,,,,,,354,2004-06-30
0,0,0,0,0,0,0,0,0,0,0,,,0,0,35,5,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,13,12,4,0,17,0,0,,,,,,,,,,,,,,,,,439,2004-06-30
0,0,0,0,0,0,0,0,0,0,0,,,0,1,15,0,0,0,,,,,,0,,,,,,1,,,0,0,0,0,,,0,0,15,1,0,0,0,0,0,,,,,,,,,,,,,,,,,457,2004-06-30
0,0,0,0,0,0,0,2,0,0,14,,,0,0,44,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,44,15,0,0,0,0,0,,,,,,,,,,,,,,,,,505,2004-06-30
3,6,0,0,0,0,0,0,0,0,13,,0,0,0,224,25,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,3,3,,,193,18,0,10,0,0,0,0,0,,,,,,,,,,,,,,,,,1146,2004-06-30
0,0,0,0,0,0,0,0,0,0,0,,,0,0,29,8,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,4,0,17,5,14,0,0,0,0,,,,,,,,,,,,,,,,,1155,2004-06-30
0,0,0,0,0,0,0,0,0,0,3,,,0,0,99,82,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,17,1,0,0,0,0,0,,,,,,,,,,,,,,,,,1351,2004-06-30
