"IDRSSD"	RIAD3582	RIAD3583	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD3590	RIAD3591	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4658	RIAD4659	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD4668	RIAD4669	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADB516	RIADB517	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	
	CHG-OFFS ON CONSTRCTN&LAND DEVLPMT	RECVRS ON CONSTRCTN&LAND DEVLPMT LNS	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFFS ON LNS SECD BY NONFARM NONR	RECVRS ON LNS SECD BY NONFARM NONRES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	CHRG-OFF LEASE FNC RCVBL US ADDR	CHRG-OFF LEASE FNC RCVBL NON US ADDR	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	RECOV ON LEASE FIN RECEIVABLE-US ADD	RCVRY LEASE FNC RCVBL NON US ADD	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	CHARGE-OFFS ON: OTHER INDIV LOANS	RECOVERIES ON: OTHER INDIV LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	
37	0	0	0	0	0	0	0	0	0	0	0	0	76	0			0	1	136	0	0	2															0	0	0	0			0	0	99	61	14	0	35	0		
242	0	0	0	0	0	0	4	0	0	0	0	0	8	4			0	0	27	12	0	0						0						0			0	0	0	0			0	0	2	4	0	0	9	0		
279	0	0	0	0	0	0	0	0	0	0	0	0	9	0			0	0	17	0	0	0															0	0	0	0			0	0	17	9	0	0	0	0		
354	0	0	0	0	0	0	0	4	0	0	0	0	18	0			0	1	16	15	0	0						0						1			0	0	0	0			0	0	1	10	3	0	0	0		
439	0	0	0	0	0	0	0	0	0	0	0	0	5	1			0	0	23	8	0	0															0	0	0	0			0	0	15	1	3	0	0	0		
457	0	0	0	0	0	0	0	0	0	0	0	0	4	0			0	1	242	152	0	0						0						1			0	0	0	0			0	0	28	3	0	0	60	2		
505	0	0	0	0	0	0	1	5	0	0	0	0	75	3		0	0	0	84	6	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			2	1	46	34	32	0	29	0		
1146	0	7	0	0	0	0	0	0	0	0	0	0	64	14		0	0	0	447	4	0	0		0	0		0	0		0	0		0	0		0	0	0	5	0			278	41	10	2	0	0	146	4		
1155	0	0	0	0	0	0	8	15	0	0	0	0	67	16			0	0	550	425	0	0															0	0	0	0			13	1	12	35	0	0	0	92		
1351	0	0	0	0	0	0	0	0	0	0	0	0	25	0			0	1	451	410	0	1						0						1			0	0	0	0			0	0	40	24	0	0	0	0	0	
1454	0	0	0	0	0	0	0	0	0	0	0	0	43	0		0	0	16	84	3	0	31		0	0		0	0		0	0		0	0		0	0	0	0	0			5	1	45	26	0	0	0	0		
1557	0	0	0	0	0	0	0	0	0	0	0	0	8	0			0	0	8	0	0	0						0						0			0	0	0	0			0	0	8	8	0	0	0	0	0	
1632	0	0	0	0	0	0	419	175	0	0	0	0	425	130		0	0	61	1000	146	0	303		0	0		0	303		0	0		0	61		0	0	0	0	0			0	0	85	58	1	0	47	0		
1669	0	0	0	0	0	0	4	0	0	0	0	0	149	82			0	0	222	27	0	0															0	0	0	0			0	0	145	55	12	0	46	0		
1829	0	0	0	0	0	0	0	0	0	0	0	0	135	30		0	0	0	376	298	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			11	5	67	10	90	0	0	0		
1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	25	21	0	0						0						0			0	0	0	0			0	0	4	0	0	0	0	0		
2040	0	0	0	0	0	0	71	1	0	0	0	0	293	193			0	0	1610	896	0	5															0	0	0	0			1	0	235	51	48	0	402	0		
2161	0	0	0	0	0	0	0	0	0	0	0	0	24	21			0	0	67	13	0	0															0	0	0	0			6	0	45	3	0	0	3	0		
2376	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			0	0	0	0	0	0	0	0		
