"IDRSSD"	RIAD3582	RIAD3583	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD3590	RIAD3591	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4658	RIAD4659	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD4668	RIAD4669	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADB516	RIADB517	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	
	CHG-OFFS ON CONSTRCTN&LAND DEVLPMT	RECVRS ON CONSTRCTN&LAND DEVLPMT LNS	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFFS ON LNS SECD BY NONFARM NONR	RECVRS ON LNS SECD BY NONFARM NONRES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	CHRG-OFF LEASE FNC RCVBL US ADDR	CHRG-OFF LEASE FNC RCVBL NON US ADDR	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	RECOV ON LEASE FIN RECEIVABLE-US ADD	RCVRY LEASE FNC RCVBL NON US ADD	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	CHARGE-OFFS ON: OTHER INDIV LOANS	RECOVERIES ON: OTHER INDIV LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	
37	0	0	0	0	0	0	8	4	0	0	0	0	113	0			0	0	350	0	0	4															0	0	0	0			0	0	251	95	14	0	87	0		
242	0	0	0	0	0	0	20	0	0	0	0	0	3	0			0	0	25	0	0	0						0						0			0	0	0	0			0	0	5	3	0	0	0	0		
279	0	0	0	0	0	0	0	0	0	0	0	0	177	0			0	0	176	0	0	0															0	0	0	0			0	0	20	21	156	0	156	0		
354	0	0	0	0	0	0	0	4	0	0	0	0	30	0			0	5	24	0	0	0						0						2			0	0	0	0			0	0	24	17	4	0	0	0		
439	0	0	0	0	0	0	223	0	0	0	0	0	33	10			0	0	471	50	0	0															0	0	0	0			0	0	32	18	5	0	65	101		
457	44	2	0	0	0	0	0	2	0	0	0	0	9	0			0	3	63	0	0	0						0						3			0	0	0	0			0	0	19	2	0	0	0	0		
505	0	0	0	0	0	0	0	0	0	0	0	0	17	1			0	0	55	0	0	0															0	0	0	0			6	1	49	15	0	0	0	0		
1146	45	4	0	0	0	0	0	0	0	0	0	0	77	6		0	0	0	874	22	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			769	53	0	9	5	0	38	0		
1155	0	0	0	0	0	0	15	0	0	0	0	0	21	0			0	0	75	5	0	0															0	0	0	0			4	0	51	12	0	9	0	0		
1351	0	0	0	0	0	0	0	0	0	0	0	0	20	2			0	0	395	311	0	0						0						0			0	0	0	0			0	0	77	18	0	0	7	0	0	
1454	0	0	0	0	0	0	0	0	0	0	0	0	80	18		0	0	9	129	0	0	56		0	0		0	0		0	0		0	0		0	0	0	0	0			10	7	63	46	0	0	0	0		
1557	0	0	0	0	0	0	0	0	0	0	0	0	13	8			0	0	5	0	0	0						0						0			0	0	0	0			0	0	5	5	0	0	0	0	0	
1632	57	13	0	0	0	0	43	32	0	0	0	0	110	15		0	0	0	702	236	0	280		0	0		0	0		0	0		0	0		0	0	0	0	0			0	0	81	45	2	3	5	0		
