"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	TEXT4087	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FORECLOSED PROPERTIES FROM	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	SECURED LIBLTIES:AMT OF	URL	
37																														0	0	56	0	0	0	false	0	0	0	0	0	0	56	0	0	259	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
242																														0	0	0	0	0	3300	true	0	0	0	0	0	0	0	0	0	200	0	0	0	true	0	0	0	0	1500	0	1800	0	0	0	0	0	0	0	http://www.fcbxeniaflora.com	
279																														68	259	0	13750	68	32980	true	0	0	259	0	0	0	0	0	0	504	0	68	0	true	0	0	0	13750	9500	9730	0	0	0	0	0	0	0	0	http://www.mineolacb.com	
354																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	190	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
457																														0	0	123	2000	0	4000	true	0	0	0	0	0	0	43	0	80	1042	2	0	0	false	0	0	0	2000	2000	0	0	0	0	0	0	0	0	0	http://www.lowrystate.com	
505																														19	0	157	38300	0	77800	true	0	0	0	19	157	0	0	0	0	2552	2	0	0	true	0	3000	0	38300	9000	27500	0	25500	3000	0	0	0	0	3000	www.bsnb.com	
1155																														0	0	0	3500	0	3500	true	0	0	0	0	0	0	0	0	0	5897	4	0	0	true	0	0	0	3500	0	0	0	0	0	0	0	0	0	0	www.firststatebankandtrust.com	
1351																														0	0	458	0	0	0	true	0	0	0	0	0	0	105	0	353	1158	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	bankofgrandin.net	
1454																														22	0	0	0	0	0	true	0	0	0	22	0	0	0	0	0	20463	4	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WWW.HILLTOPNATIONALBANK.COM	
1557																														0	0	0	0	0	1766	false	0	0	0	0	0	0	0	0	0	5	0	0	0	false	0	0	0	625	625	0	486	0	30	0	0	0	0	0		
1632																														0	0	227	27000	0	57000	true	0	0	0	0	17	0	210	0	0	27259	8	0	0	true	0	0	0	57000	0	0	0	0	0	0	0	0	0	0	www.seaislandbank.com	
1669																														1261	0	4	0	0	841	true	0	0	0	1261	0	0	4	0	0	3158	2	0	0	false	0	841	0	0	0	0	0	0	841	0	0	0	0	0	www.lnbparis.com	
1829																														797	0	0	13935	0	46605	true	0	0	0	797	0	0	0	0	0	1431	1	0	0	false	0	0	0	13935	6000	20768	5902	0	0	0	0	0	0	0	http://avbpgh.com	
1856																														0	0	0	0	0	80800	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	26800	0	0	54000	0	0	0	0	0	0	0		
2040																														0	0	0	1643	0	21943	true	0	0	0	0	0	0	0	0	0	681	1	0	0	false	0	0	0	1643	3300	12000	5000	15000	0	0	0	0	0	0	http://www.fmnetbank.com	
2161																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	1029	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.ffpnet.com	
